,ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
0,2017-En-21441,Worry is a down payment on a problem you may never have'. Joyce Meyer. motivation leadership worry,0,1,0,0,0,0,1,0,0,0,1
1,2017-En-31535,Whatever you decide to do make sure it makes you happy.,0,0,0,0,1,1,1,0,0,0,0
2,2017-En-21068,"Kellerman it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! GOPATS",1,0,1,0,1,0,1,0,0,0,0
3,2017-En-31436,Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton dog,0,0,0,0,1,0,1,0,0,0,0
4,2017-En-22195,My roommate: it's okay that we can't spell because we have autocorrect. terrible firstworldprobs,1,0,1,0,0,0,0,0,0,0,0
5,2017-En-22190,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,0,0,0,0,1,0,0,0,0,0,0
6,2017-En-20221,Do you think humans have the sense for recognizing impending doom?,0,1,0,0,0,0,0,1,0,0,0
7,2017-En-22180,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",1,0,1,0,0,0,0,0,0,0,0
8,2017-En-41344,it's pretty depressing when u hit pan on ur favourite highlighter,0,0,1,0,0,0,0,0,1,0,0
9,2017-En-20759,but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,1,0,1,0,0,0,0,0,0,0,0
10,2017-En-40158,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. college,0,0,1,0,0,0,0,1,1,0,0
11,2017-En-21744,And it's hard to dance with a devil on your back So shake him off.,0,0,0,0,0,0,0,0,0,0,0
12,2017-En-31337,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,0,0,0,0,1,1,0,0,0,0,0
13,2017-En-10902,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait upside-down,1,0,0,0,0,0,0,0,1,0,0
14,2017-En-11274,uk broadband is shocking regretting signing up now angry shouldofgonewithvirgin,1,0,1,0,0,0,0,0,0,0,0
15,2017-En-11097,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. angry stop,1,0,1,0,0,0,0,0,1,0,0
16,2017-En-11475,Look at those teef! growl,1,0,1,1,0,0,0,0,0,0,0
17,2017-En-10989,Star trek online has a update to download oh fuming yay,1,0,1,0,1,0,0,0,1,0,0
18,2017-En-10618,"The bitter the battle, the sweeter the victory...",0,0,0,0,1,0,1,0,0,0,0
19,2017-En-40212,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,1,0,1,0,0,0,0,0,1,0,0
20,2017-En-21011,USA was embarrassing to watch. When was the last time you guys won a game..? horrible joke,1,0,1,0,0,0,0,0,0,0,0
21,2017-En-20349,NewYork: Several Baloch & Indian activists hold demonstrations outside headquarters demanding Pak to stop exporting terror into India,0,0,0,1,0,0,0,0,1,0,0
22,2017-En-40483,Awareness of time is awareness of time lost. awareness time,0,0,0,0,1,1,1,0,0,0,0
23,2017-En-30807,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic & all that is wrong with the world today.,1,0,1,0,0,0,0,0,0,0,0
24,2017-En-21400,you guys will see what i did in the next video but its fucking horrid,1,0,1,1,0,0,0,0,1,0,0
25,2017-En-11184,What a fucking muppet. stalker.,1,0,1,0,0,0,0,0,0,0,0
26,2017-En-30230,I like your optimism!,0,0,0,0,1,0,1,0,0,0,0
27,2017-En-11421,My cat is bloody lucky the RSPCA weren't open at 3am last night!!! fuming pouting cat,1,0,1,0,1,0,0,0,0,0,0
28,2017-En-21740,I remember it well happy afraid Positive,0,0,0,1,1,1,1,0,0,0,0
29,2017-En-10966,Autocorrect changes ''em' to 'me' which I resent greatly,1,0,1,0,0,0,0,0,0,0,0
30,2017-En-10503,"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",1,0,1,0,1,0,1,0,0,0,0
31,2017-En-21716,I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,1,0,1,1,0,0,0,0,0,0,0
32,2017-En-20316,We are in so much trouble!! I don't think the Rev will see the funny side of our project.,0,0,0,1,1,0,0,0,1,0,0
33,2017-En-10936,ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,1,0,1,0,0,0,0,0,1,0,0
34,2017-En-30541,You have to find a way to top yourself. glee,0,0,0,0,1,1,1,0,0,0,0
35,2017-En-20393,Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,1,0,1,0,0,0,0,0,0,0,0
36,2017-En-30296,smile every morning to a positive head start with your clients relations,0,0,0,0,1,0,1,0,0,0,0
37,2017-En-20473,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,0,0,0,0,0,0,1,0,0,0,0
38,2017-En-10565,its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,0,0,0,0,0,0,0,0,0,0,0
39,2017-En-21752,Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,0,0,1,1,0,0,1,0,0,0,1
40,2017-En-11251,All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts tears of joy GBBO,1,0,1,0,1,0,0,0,1,0,0
41,2017-En-40949,Living with depression doesn't mean you must be defeated by it every day's a new day and yesterday doesn't decide what today looks like :-),0,0,0,0,0,0,1,0,1,0,0
42,2017-En-20092,"In wake of fresh terror threat and sounding of alert in Mumbai, praying for safety & security of everybody in the city Maharashtra news",0,0,0,1,0,0,0,0,0,0,0
43,2017-En-21374,KellyDodd Tamra would F her up if she swung on Tamra Kelly is a piece of pile of poo needstobeadmitted bully,1,0,1,0,0,0,0,0,0,0,0
44,2017-En-21886,"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA & MQM.shame ZH",1,0,1,0,0,0,0,0,1,1,0
45,2017-En-21219,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! photography,0,1,0,0,1,0,1,0,0,0,0
46,2017-En-30081,yes red heart red heart & cheering homecoming game!,0,0,0,0,1,1,1,0,0,0,0
47,2017-En-20533,I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,0,1,0,0,1,0,0,0,1,0,0
48,2017-En-41251,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,0,0,0,0,0,1,1,0,0,0,1
49,2017-En-40646,The had a good one but then the reporter quit.,0,0,0,0,0,0,0,0,0,0,0
50,2017-En-20764,Want to start a biker gang together when the GTA Online Biker DLC comes out?,0,1,0,0,1,0,1,0,0,0,0
51,2017-En-11506,lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,1,0,1,0,1,0,0,0,0,1,0
